lista,ident,operator,operator_iata,flight_number,registration,status,aircraft_type,origin_code,origin_city,destination_code,destination_city,scheduled_out,estimated_out,actual_out,scheduled_off,estimated_off,actual_off,scheduled_on,estimated_on,actual_on,scheduled_in,estimated_in,actual_in,terminal_origin,gate_origin,terminal_destination,gate_destination,route_distance_nm,progress_percent,baggage_claim
arrivals,SKU1810,SKU,H2,1810,CC-AZM,Arrived / Gate Arrival,A20N,SCEL,Santiago,SUMU,Montevideo,2025-11-05T10:50:00Z,2025-11-05T10:50:00Z,2025-11-05T10:49:00Z,2025-11-05T11:00:00Z,2025-11-05T11:05:14Z,2025-11-05T11:05:14Z,2025-11-05T13:00:00Z,2025-11-05T12:43:28Z,2025-11-05T12:43:28Z,2025-11-05T13:10:00Z,2025-11-05T12:42:00Z,2025-11-05T12:47:00Z,1,,,,850,100,
arrivals,IBE169,IBE,IB,169,EC-MYA,Arrived / Gate Arrival,A332,LEMD,Madrid,SUMU,Montevideo,2025-11-04T22:59:00Z,2025-11-04T22:59:00Z,,2025-11-04T23:09:00Z,2025-11-04T23:21:33Z,2025-11-04T23:21:33Z,2025-11-05T11:45:00Z,2025-11-05T11:44:48Z,2025-11-05T11:44:48Z,2025-11-05T11:55:00Z,2025-11-05T11:50:00Z,2025-11-05T11:45:00Z,4S,,,,6188,100,
arrivals,ARG1382,ARG,AR,1382,LV-FQZ,Arrived / Gate Arrival,B738,SABE,Buenos Aires,SUMU,Montevideo,2025-11-05T10:55:00Z,2025-11-05T10:55:00Z,2025-11-05T10:52:00Z,2025-11-05T11:03:20Z,2025-11-05T11:04:44Z,2025-11-05T11:04:44Z,2025-11-05T11:36:20Z,2025-11-05T11:33:00Z,2025-11-05T11:33:00Z,2025-11-05T11:45:00Z,2025-11-05T11:38:00Z,2025-11-05T11:39:00Z,,15,,,137,100,
arrivals,AZP844,AZP,ZP,844,ZP-CRT,Arrived / Gate Arrival,CRJ2,SGAS,Asuncion,SUMU,Montevideo,2025-11-05T09:15:00Z,2025-11-05T09:15:00Z,,2025-11-05T09:25:00Z,2025-11-05T09:25:00Z,2025-11-05T09:25:00Z,2025-11-05T10:55:00Z,2025-11-05T10:47:00Z,2025-11-05T10:47:00Z,2025-11-05T11:05:00Z,2025-11-05T11:00:00Z,2025-11-05T10:57:00Z,,,,,670,100,
arrivals,LPE2420,LPE,LP,2420,CC-BAL,Arrived / Delayed,A320,SPJC,,SUMU,Montevideo,2025-11-05T05:05:00Z,2025-11-05T05:05:00Z,2025-11-05T06:01:00Z,2025-11-05T05:15:00Z,2025-11-05T06:26:32Z,2025-11-05T06:26:32Z,2025-11-05T09:34:00Z,2025-11-05T10:30:28Z,2025-11-05T10:30:28Z,2025-11-05T09:40:00Z,2025-11-05T10:36:00Z,2025-11-05T10:35:00Z,,C20,,,2059,100,
arrivals,CMP368,CMP,CM,368,HP-9923CMP,Arrived / Gate Arrival,B39M,MPTO,Panama City,SUMU,Montevideo,2025-11-05T03:10:00Z,2025-11-05T03:10:00Z,2025-11-05T03:16:00Z,2025-11-05T03:20:00Z,2025-11-05T03:33:35Z,2025-11-05T03:33:35Z,2025-11-05T10:16:00Z,2025-11-05T10:22:48Z,2025-11-05T10:22:48Z,2025-11-05T10:26:00Z,2025-11-05T10:20:00Z,2025-11-05T10:32:00Z,,220,,34B,3400,100,
arrivals,AVA109,AVA,AV,109,HK-5361,Arrived / Gate Arrival,A20N,SKBO,Bogota,SUMU,Montevideo,2025-11-05T02:30:00Z,2025-11-05T02:30:00Z,2025-11-05T02:37:00Z,2025-11-05T02:40:00Z,2025-11-05T03:02:13Z,2025-11-05T03:02:13Z,2025-11-05T08:42:00Z,2025-11-05T08:55:36Z,2025-11-05T08:55:36Z,2025-11-05T09:00:00Z,2025-11-05T09:01:00Z,2025-11-05T09:01:00Z,1,A13,,,2979,100,
arrivals,GLO7644,GLO,G3,7644,PR-GGP,Arrived / Gate Arrival,B738,SBGL,Rio de Janeiro,SUMU,Montevideo,2025-11-05T01:25:00Z,2025-11-05T01:25:00Z,,2025-11-05T01:35:00Z,2025-11-05T01:33:20Z,2025-11-05T01:33:20Z,2025-11-05T04:30:00Z,2025-11-05T04:23:00Z,2025-11-05T04:23:00Z,2025-11-05T04:40:00Z,2025-11-05T04:16:00Z,,2,C46,,,1135,100,
arrivals,CMP283,CMP,CM,283,HP-9914CMP,Arrived / Gate Arrival,B39M,MPTO,Panama City,SUMU,Montevideo,2025-11-04T20:46:00Z,2025-11-04T21:03:00Z,2025-11-04T21:02:00Z,2025-11-04T20:56:00Z,2025-11-04T21:34:37Z,2025-11-04T21:34:37Z,2025-11-05T03:52:00Z,2025-11-05T04:13:53Z,2025-11-05T04:13:53Z,2025-11-05T04:02:00Z,2025-11-05T04:11:00Z,2025-11-05T04:22:00Z,,142,,33B,3400,100,
arrivals,TAM8016,TAM,JJ,8016,PT-XPC,Arrived / Gate Arrival,A321,SBGR,Sao Paulo,SUMU,Montevideo,2025-11-05T00:40:00Z,2025-11-05T00:40:00Z,2025-11-05T01:03:00Z,2025-11-05T00:50:00Z,2025-11-05T01:25:00Z,2025-11-05T01:18:23Z,2025-11-05T03:00:00Z,2025-11-05T03:38:10Z,2025-11-05T03:38:10Z,2025-11-05T03:20:00Z,2025-11-05T03:45:00Z,2025-11-05T03:46:00Z,3,,,,977,100,
arrivals,QCL426,QCL,,426,CX-CLD,Arrived,,SAEZ,Ezeiza,SUMU,Montevideo,,,,2025-11-05T02:39:31Z,2025-11-05T02:39:31Z,2025-11-05T02:21:40Z,2025-11-05T02:59:44Z,2025-11-05T02:59:44Z,2025-11-05T02:59:44Z,,,,,,,,142,100,
arrivals,TPA4091,TPA,QT,4091,N334QT,Arrived,A332,KMIA,Miami,SUMU,Montevideo,,,,2025-11-04T18:10:00Z,2025-11-04T18:14:15Z,2025-11-04T18:14:15Z,2025-11-05T02:43:00Z,2025-11-05T02:41:00Z,2025-11-05T02:41:00Z,,,,,,,,4854,100,
arrivals,CMP125,CMP,CM,125,HP-9929CMP,Arrived / Gate Arrival,B39M,MPTO,Panama City,SUMU,Montevideo,2025-11-04T17:16:00Z,2025-11-04T17:16:00Z,2025-11-04T17:13:00Z,2025-11-04T17:26:00Z,2025-11-04T17:36:05Z,2025-11-04T17:36:05Z,2025-11-05T00:22:00Z,2025-11-05T00:25:44Z,2025-11-05T00:25:44Z,2025-11-05T00:32:00Z,2025-11-05T00:26:00Z,2025-11-05T00:33:00Z,,221,,32B,3400,100,
arrivals,ARG1388,ARG,AR,1388,LV-CID,Arrived / Gate Arrival,E190,SABE,Buenos Aires,SUMU,Montevideo,2025-11-04T20:45:00Z,2025-11-04T20:45:00Z,2025-11-04T20:49:00Z,2025-11-04T20:53:20Z,2025-11-04T21:10:00Z,2025-11-04T21:10:00Z,2025-11-04T21:22:20Z,2025-11-04T21:37:55Z,2025-11-04T21:37:55Z,2025-11-04T21:35:00Z,2025-11-04T21:41:00Z,2025-11-04T21:45:00Z,,19,,,137,100,
arrivals,SKU1801,SKU,H2,1801,CC-AZN,Arrived / Gate Arrival,A20N,SBSV,Salvador,SUMU,Montevideo,2025-11-04T16:25:00Z,2025-11-04T16:25:00Z,2025-11-04T16:30:00Z,2025-11-04T16:35:00Z,2025-11-04T16:54:46Z,2025-11-04T16:54:46Z,2025-11-04T20:50:00Z,2025-11-04T21:17:19Z,2025-11-04T21:17:19Z,2025-11-04T21:00:00Z,2025-11-04T21:14:00Z,2025-11-04T21:22:00Z,,,,,1878,100,
